"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:49:14,527 ms,606 ms,449 ms
2022-04-19 14:49:16,410 ms,444 ms,376 ms
2022-04-19 14:49:18,444 ms,505 ms,382 ms
2022-04-19 14:49:20,619 ms,851 ms,387 ms
2022-04-19 14:49:22,669 ms,961 ms,377 ms
2022-04-19 14:49:24,750 ms,1.13 s,369 ms
2022-04-19 14:49:26,805 ms,1.26 s,352 ms
2022-04-19 14:49:28,723 ms,1.06 s,384 ms
2022-04-19 14:49:30,678 ms,858 ms,497 ms
2022-04-19 14:49:32,601 ms,714 ms,489 ms
2022-04-19 14:49:34,541 ms,589 ms,494 ms
2022-04-19 14:49:36,485 ms,463 ms,506 ms
2022-04-19 14:49:38,432 ms,454 ms,411 ms
2022-04-19 14:49:40,478 ms,579 ms,378 ms
2022-04-19 14:49:42,523 ms,620 ms,427 ms
2022-04-19 14:49:44,652 ms,512 ms,792 ms
2022-04-19 14:49:46,761 ms,521 ms,1.00 s
2022-04-19 14:49:48,869 ms,570 ms,1.17 s
2022-04-19 14:49:50,876 ms,447 ms,1.31 s
2022-04-19 14:49:52,826 ms,405 ms,1.25 s
2022-04-19 14:49:54,733 ms,440 ms,1.03 s
2022-04-19 14:49:56,609 ms,421 ms,797 ms
2022-04-19 14:49:58,513 ms,349 ms,678 ms
2022-04-19 14:50:00,445 ms,333 ms,556 ms
2022-04-19 14:50:02,367 ms,342 ms,393 ms
2022-04-19 14:50:04,333 ms,278 ms,389 ms
2022-04-19 14:50:06,335 ms,276 ms,394 ms
2022-04-19 14:50:08,351 ms,270 ms,432 ms
2022-04-19 14:50:10,324 ms,268 ms,380 ms
2022-04-19 14:50:12,514 ms,626 ms,403 ms
2022-04-19 14:50:14,569 ms,692 ms,446 ms
2022-04-19 14:50:16,610 ms,754 ms,466 ms
2022-04-19 14:50:18,600 ms,772 ms,428 ms
2022-04-19 14:50:20,618 ms,700 ms,536 ms
2022-04-19 14:50:22,515 ms,537 ms,493 ms
2022-04-19 14:50:24,510 ms,591 ms,428 ms
2022-04-19 14:50:26,483 ms,550 ms,417 ms
2022-04-19 14:50:28,394 ms,470 ms,317 ms
2022-04-19 14:50:30,388 ms,469 ms,308 ms
2022-04-19 14:50:32,419 ms,442 ms,397 ms
2022-04-19 14:50:34,447 ms,357 ms,537 ms
2022-04-19 14:50:36,466 ms,390 ms,542 ms
2022-04-19 14:50:38,461 ms,364 ms,558 ms
2022-04-19 14:50:40,459 ms,375 ms,543 ms
2022-04-19 14:50:42,360 ms,362 ms,359 ms
2022-04-19 14:50:44,306 ms,309 ms,303 ms
