"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:26:44,248 ms
2022-04-18 15:26:46,244 ms
2022-04-18 15:26:48,228 ms
2022-04-18 15:26:50,217 ms
2022-04-18 15:26:52,218 ms
2022-04-18 15:26:54,266 ms
2022-04-18 15:26:56,277 ms
2022-04-18 15:26:58,305 ms
2022-04-18 15:27:00,323 ms
2022-04-18 15:27:02,303 ms
2022-04-18 15:27:04,304 ms
2022-04-18 15:27:06,298 ms
2022-04-18 15:27:08,297 ms
2022-04-18 15:27:10,253 ms
2022-04-18 15:27:12,238 ms
2022-04-18 15:27:14,229 ms
2022-04-18 15:27:16,227 ms
2022-04-18 15:27:18,229 ms
2022-04-18 15:27:20,231 ms
2022-04-18 15:27:22,257 ms
2022-04-18 15:27:24,254 ms
2022-04-18 15:27:26,249 ms
2022-04-18 15:27:28,254 ms
2022-04-18 15:27:30,257 ms
2022-04-18 15:27:32,249 ms
2022-04-18 15:27:34,248 ms
2022-04-18 15:27:36,243 ms
2022-04-18 15:27:38,240 ms
2022-04-18 15:27:40,252 ms
2022-04-18 15:27:42,244 ms
2022-04-18 15:27:44,244 ms
2022-04-18 15:27:46,238 ms
2022-04-18 15:27:48,228 ms
2022-04-18 15:27:50,234 ms
2022-04-18 15:27:52,249 ms
2022-04-18 15:27:54,270 ms
2022-04-18 15:27:56,264 ms
2022-04-18 15:27:58,316 ms
2022-04-18 15:28:00,317 ms
2022-04-18 15:28:02,328 ms
2022-04-18 15:28:04,329 ms
2022-04-18 15:28:06,296 ms
2022-04-18 15:28:08,261 ms
2022-04-18 15:28:10,247 ms
2022-04-18 15:28:12,246 ms
2022-04-18 15:28:14,259 ms
2022-04-18 15:28:16,256 ms
2022-04-18 15:28:18,289 ms
2022-04-18 15:28:20,295 ms
2022-04-18 15:28:22,295 ms
2022-04-18 15:28:24,287 ms
2022-04-18 15:28:26,256 ms
2022-04-18 15:28:28,252 ms
2022-04-18 15:28:30,252 ms
2022-04-18 15:28:32,257 ms
2022-04-18 15:28:34,259 ms
2022-04-18 15:28:36,259 ms
2022-04-18 15:28:38,267 ms
2022-04-18 15:28:40,251 ms
2022-04-18 15:28:42,251 ms
2022-04-18 15:28:44,251 ms
2022-04-18 15:28:46,236 ms
2022-04-18 15:28:48,266 ms
2022-04-18 15:28:50,258 ms
2022-04-18 15:28:52,262 ms
2022-04-18 15:28:54,260 ms
2022-04-18 15:28:56,254 ms
2022-04-18 15:28:58,264 ms
2022-04-18 15:29:00,255 ms
2022-04-18 15:29:02,254 ms
2022-04-18 15:29:04,258 ms
2022-04-18 15:29:06,260 ms
2022-04-18 15:29:08,274 ms
2022-04-18 15:29:10,283 ms
2022-04-18 15:29:12,308 ms
2022-04-18 15:29:14,373 ms
2022-04-18 15:29:16,365 ms
2022-04-18 15:29:18,348 ms
2022-04-18 15:29:20,350 ms
2022-04-18 15:29:22,260 ms
2022-04-18 15:29:24,261 ms
2022-04-18 15:29:26,257 ms
2022-04-18 15:29:28,264 ms
2022-04-18 15:29:30,262 ms
2022-04-18 15:29:32,251 ms
2022-04-18 15:29:34,247 ms
2022-04-18 15:29:36,261 ms
2022-04-18 15:29:38,262 ms
2022-04-18 15:29:40,259 ms
2022-04-18 15:29:42,265 ms
2022-04-18 15:29:44,256 ms
2022-04-18 15:29:46,257 ms
2022-04-18 15:29:48,262 ms
2022-04-18 15:29:50,268 ms
2022-04-18 15:29:52,272 ms
2022-04-18 15:29:54,272 ms
2022-04-18 15:29:56,262 ms
2022-04-18 15:29:58,267 ms
2022-04-18 15:30:00,268 ms
2022-04-18 15:30:02,262 ms
2022-04-18 15:30:04,269 ms
2022-04-18 15:30:06,267 ms
2022-04-18 15:30:08,259 ms
2022-04-18 15:30:10,255 ms
